Journal Code,"Online
ISSN",Journal Title,Full Article Publication Charge,Unnamed: 4,Unnamed: 5,Discounted APC for Society Members,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
AOR,1525-1594,Artificial Organs,3800,2550,3150,,,,,AOR
APHR,1744-7941,Asia Pacific Journal of Human Resources,2500,1667,2083,,,,,APHR
APV,1467-8373,Asia Pacific Viewpoint,2750,1850,2300,,,,,APV
ASEJ,1467-8381,Asian Economic Journal,2500,1650,2100,,,,,ASEJ
AEPR,1748-3131,Asian Economic Policy Review,2500,1650,2100,,,,,AEPR
ASJC,1934-6093,Asian Journal of Control,2500,1667,2083,,,,,ASJC
ASES,1758-5910,Asian Journal of Endoscopic Surgery,2500,1667,2083,,,,,ASES
AJOC,1522-2357,Asian Journal of Organic Chemistry,3500,2350,2900,,,,,AJOC
AJSP,1467-839X,Asian Journal of Social Psychology,2500,1667,2083,,,,,AJSP
ASPP,1943-0787,Asian Politics and Policy,2500,1650,2100,,,,,ASPP
ASWP,1753-1411,Asian Social Work and Policy Review,2500,1667,2083,,,,,ASWP
APEL,1467-8411,Asian-Pacific Economic Literature,2500,1667,2083,,,,,APEL
APJ,1932-2143,Asia-Pacific Journal of Chemical Engineering,2500,1650,2100,,,,,APJ
AJCO,1743-7563,Asia-Pacific Journal of Clinical Oncology,3200,2133,2667,,,,,AJCO
AJFS,2041-6156,Asia-Pacific Journal of Financial Studies,2500,1667,2083,,,,,AJFS
APPY,1758-5872,Asia-Pacific Psychiatry,2700,1800,2250,,,,,APPY
ASNA,1521-3994,Astronomische Nachrichten,3000,2000,2500,,,,,ASNA
AEC,1442-9993,Austral Ecology,3100,2067,2583,,,,,AEC
AEN,2052-1758,Austral Entomology,2500,1667,2083,,,,,AEN
AJD,1440-0960,Australasian Journal of Dermatology,3100,2050,2600,,,,,AJD
AJUM,2205-0140,Australasian Journal of Ultrasound in Medicine,3400,2250,2850,,,,,AJUM
AJAG,1741-6612,Australasian Journal on Ageing,3000,2000,2500,,,,,AJAG
ANZS,1467-842X,Australian & New Zealand Journal of Statistics,2700,1800,2250,,,,,ANZS
AUAR,1835-2561,Australian Accounting Review,2500,1667,2083,,,,,AUAR
ANZF,1467-8438,Australian and New Zealand Journal of Family Therapy,2500,1667,2083,,,,,ANZF
AJO,1479-828X,Australian and New Zealand Journal of Obstetrics and Gynaecology,3300,2200,2750,,,,,AJO
ADJ,1834-7819,Australian Dental Journal,2500,1667,2083,,,,,ADJ
AEHR,1467-8446,Australian Economic History Review,2500,1667,2083,,,,,AEHR
AEPA,1467-8454,Australian Economic Papers,2500,1667,2083,,,,,AEPA
AEJ,1747-4477,Australian Endodontic Journal,2500,1667,2083,,,,,AEJ
AJGW,1755-0238,Australian Journal of Grape and Wine Research,3700,2450,3100,,,,,AJGW
AJPH,1467-8497,Australian Journal of Politics and History,2500,2116,1870,,,,,AJPH
AUPA,1467-8500,Australian Journal of Public Administration,2500,1667,2083,,,,,AUPA
AJR,1440-1584,Australian Journal of Rural Health,2900,1933,2417,,,,,AJR
AJS4,1839-4655,Australian Journal of Social Issues,3000,2000,2500,,,,,AJS4
AOT,1440-1630,Australian Occupational Therapy Journal,3000,2000,2500,,,,,AOT
AVJ,1751-0813,Australian Veterinary Journal,3100,2067,2583,,,,,AVJ
AUR,1939-3806,Autism Research,3800,2533,3167,,,,,AUR
AWS2,2577-8161,AWWA Water Science,3000,2000,2500,2400,1600,2000,,AWS2
BCPT,1742-7843,Basic & Clinical Pharmacology & Toxicology,3800,2550,3150,,,,,BCPT
BRE,1365-2117,Basin Research,3600,2400,3000,,,,,BRE
BATT,2566-6223,Batteries & Supercaps,3500,2600,2900,,,,,BATT
BIN,1099-078X,Behavioral Interventions,2500,1667,2083,,,,,BIN
BSL,1099-0798,Behavioral Sciences & the Law,2500,1667,2083,,,,,BSL
BEWI,1522-2365,Berichte zur Wissenschaftsgeschichte,3000,2000,2500,,,,,BEWI
BMB,1539-3429,Biochemistry and Molecular Biology Education,3000,2000,2500,,,,,BMB
BEM,1521-186X,Bioelectromagnetics,3000,2000,2500,,,,,BEM
BIES,1521-1878,BioEssays,4200,2800,3500,,,,,BIES
BIOE,1467-8519,Bioethics,3700,2467,3083,,,,,BIOE
BIOF,1872-8081,BioFactors,3600,2400,3000,,,,,BIOF
BBB,1932-1031,"Biofuels, Bioproducts and Biorefining",4400,2933,3960,,,,,BBB
BRV,1469-185X,Biological Reviews,3950,2650,3300,,,,,BRV
BOC,1768-322X,Biology of the Cell,3300,2200,2750,,,,,BOC
BMC,1099-0801,Biomedical Chromatography,3300,2200,2750,,,,,BMC
BIMJ,1521-4036,Biometrical Journal,3900,2600,3250,,,,,BIMJ
BIOM,1541-0420,Biometrics,3000,2000,2500,,,,,BIOM
BDD,1099-081X,Biopharmaceutics & Drug Disposition,3300,2200,2750,,,,,BDD
BIP,1097-0282,Biopolymers,3400,2250,2850,,,,,BIP
BAB,1470-8744,Biotechnology and Applied Biochemistry,3000,2000,2500,,,,,BAB
BIT,1097-0290,Biotechnology and Bioengineering,4600,3050,3850,,,,,BIT
BIOT,1860-7314,Biotechnology Journal,4100,2750,3400,,,,,BIOT
BTPR,1520-6033,Biotechnology Progress,3900,2600,3250,,,,,BTPR
BTP,1744-7429,Biotropica,2500,1600,2000,,,,,BTP
BDI,1399-5618,Bipolar Disorders,4200,2800,3500,,,,,BDI
BIRT,1523-536X,Birth,3800,2550,3150,,,,,BIRT
BDR,2472-1727,Birth Defects Research,3200,2150,2650,,,,,BDR
BJO,1471-0528,BJOG: An International Journal of Obstetrics and Gynaecology,4200,2800,3500,,,,,BJO
BJU,1464-410X,BJU International,3950,2650,3300,,,,,BJU
BERJ,1469-3518,British Educational Research Journal,3300,2200,2750,,,,,BERJ
BCP,1365-2125,British Journal of Clinical Pharmacology,4000,2857,3429,,,,,BCP
BJC,2044-8260,British Journal of Clinical Psychology,3000,2000,2500,,,,,BJC
BJD,1365-2133,British Journal of Dermatology,4200,3000,3550,,,,,BJD
BJDP,2044-835X,British Journal of Developmental Psychology,2500,1667,2083,,,,,BJDP
BJEP,2044-8279,British Journal of Education Psychology,3000,2000,2500,,,,,BJEP
BJET,1467-8535,British Journal of Educational Technology,3300,2200,2750,,,,,BJET
BJH,1365-2141,British Journal of Haematology,4600,3300,3950,,,,,BJH
BJHP,2044-8287,British Journal of Health Psychology,3300,2200,2750,,,,,BJHP
BJIR,1467-8543,British Journal of Industrial Relations,3100,2050,2600,,,,,BJIR
BLD,1468-3156,British Journal of Learning Disabilities,2500,1667,2083,,,,,BLD
BJOM,1467-8551,British Journal of Management,3000,2000,2500,,,,,BJOM
BMSP,2044-8317,British Journal of Mathematical and Statistical Psychology,2500,1667,2083,,,,,BMSP
BPH,1476-5381,British Journal of Pharmacology,4000,2857,3429,,,,,BPH
BJOP,2044-8295,British Journal of Psychology,3100,2050,2600,,,,,BJOP
BJP,1752-0118,British Journal of Psychotherapy,3000,2000,2500,,,,,BJP
BJR,1748-880X,British Journal of Radiology,2850,2100,2315,,,,,BJR
BJSO,2044-8309,British Journal of Social Psychology,3200,2150,2650,,,,,BJSO
BJSP,1467-8578,British Journal of Special Education,2500,1650,2100,,,,,BJSP
BOER,1467-8586,Bulletin of Economic Research,2500,1667,2083,,,,,BOER
BLAR,1470-9856,Bulletin of Latin American Research,3000,2000,2500,,,,,BLAR
BKCS,1229-5949,Bulletin of the Korean Chemical Society,3000,2000,2500,,,,,BKCS
BLMS,1469-2120,Bulletin of the London Mathematical Society,3000,2000,2500,,,,,BLMS
BASR,1467-8594,Business and Society Review,2500,1650,2100,,,,,BASR
BEER,1467-8608,Business Ethics: A European Review,3000,2000,2500,,,,,BEER
BSD2,2572-3170,Business Strategy and Development,2750,2119,2524,,,,,BSD2
BSE,1099-0836,Business Strategy and the Environment,3300,2200,2750,,,,,BSE
CJAS,1936-4490,Canadian Journal of Administrative SciencesRevue Canadienne des Sciences de l'Administration,2500,1650,2100,,,,,CJAS
CJAG,1744-7976,Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,2500,1650,2100,,,,,CJAG
CAJE,1540-5982,Canadian Journal of Economics/Revue canadienne d'économique,2500,1650,2100,,,,,CAJE
CAPA,1754-7121,Canadian Public Administration/AdministrationPublique du Canada,2500,1650,2100,,,,,CAPA
CARS,1755-618X,Canadian Review of Sociology/Revue canadienne de sociologie,2500,1650,2100,,,,,CARS
CNCR,1097-0142,Cancer,4200,3000,3600,3780,2700,3240,,CNCR
CNCY,1934-6638,Cancer Cytopathology,2500,1650,2100,2250,1485,1890,,CNCY
CCD,1522-726X,Catheterization and Cardiovascular Interventions,3800,2533,3167,,,,,CCD
,2509-7075,c/e papers,3000,2000,2500,,,,,
CBF,1099-0844,Cell Biochemistry & Function,3200,2150,2650,,,,,CBF
CBIN,1095-8355,Cell Biology International,3400,2300,2800,,,,,CBIN
CMI,1462-5822,Cellular Microbiology,3250,2321,2786,,,,,CMI
CNT,1600-0498,Centaurus,2500,1667,2083,,,,,CNT
CCHE,1943-3638,Cereal Chemistry,2750,1650,2200,,,,,CCHE
CBIC,1439-7633,ChemBioChem,3800,2550,3150,,,,,CBIC
CBEN,2196-9744,ChemBioEng Reviews,3500,2600,2900,,,,,CBEN
CCTC,1867-3899,ChemCatChem,3850,2600,3200,,,,,CCTC
CELC,2196-0216,ChemElectroChem,3700,2500,3050,,,,,CELC
CBDD,1747-0285,Chemical Biology & Drug Design,3100,2050,2600,,,,,CBDD
CEAT,1521-4125,Chemical Engineering & Technology,3500,2350,2900,,,,,CEAT
CITE,1522-2640,Chemie-Ingenieur-Technik (CIT),3500,2350,2900,,,,,CITE
CHEM,1521-3765,Chemistry - A European Journal,4400,2900,3850,,,,,CHEM
ASIA,1861-471X,Chemistry - An Asian Journal,4000,2650,3500,,,,,ASIA
CBDV,1612-1880,Chemistry & Biodiversity,3500,2350,2900,,,,,CBDV
SLCT,2365-6549,ChemistrySelect,3500,2350,2900,,,,,SLCT
CMDC,1860-7187,ChemMedChem,3600,2400,3000,,,,,CMDC
CNMA,2199-692X,CHEMNANOMAT,3600,2400,3000,,,,,CNMA
CPTC,2367-0932,ChemPhotoChem,3500,2350,2900,,,,,CPTC
CPHC,1439-7641,ChemPhysChem,3850,2600,3200,,,,,CPHC
CPLU,2192-6506,ChemPlusChem,3500,2350,2900,,,,,CPLU
CSSC,1864-564X,ChemSusChem,3850,2600,3200,,,,,CSSC
E570,2570-4206,ChemSystemsChem,3500,2350,2900,,,,,E570
CFS,1365-2206,Child & Family Social Work,3100,2050,2600,,,,,CFS
CAR,1099-0852,Child Abuse Review,2900,1950,2400,,,,,CAR
CAMH,1475-3588,Child and Adolescent Mental Health,2600,1750,2150,,,,,CAMH
CDEV,1467-8624,Child Development,3300,2200,2750,,,,,CDEV
CDEP,1750-8606,Child Development Perspectives,3100,2067,2583,,,,,CDEP
CCH,1365-2214,"Child: Care, Health and Development",3300,2200,2750,,,,,CCH
CHSO,1099-0860,Children & Society,2800,1850,2350,,,,,CHSO
CWE,1749-124X,China & World Economy,2500,1667,2083,,,,,CWE
CJOC,1614-7065,Chinese Journal of Chemistry,3000,2000,2500,,,,,CJOC
CHIR,1520-636X,Chirality,3500,2350,2900,,,,,CHIR
CISO,1548-744X,City & Society,3000,2000,2500,,,,,CISO
CEND,2625-073X,Civil Engineering Design,2800,2370,2094,,,,,CEND
CLA,1096-0031,Cladistics,3700,2467,3083,,,,,CLA
CLEN,1863-0669,"CLEAN – Soil, Air, Water",3800,2550,3150,,,,,CLEN
CEA,1365-2222,Clinical & Experimental Allergy,4200,3000,3600,,,,,CEA
CEO,1442-9071,Clinical & Experimental Ophthalmology,3050,2050,2550,,,,,CEO
CAP,2163-0097,Clinical Advances in Periodontics,3000,2000,2500,2000,1333,1667,,CAP
CA,1098-2353,Clinical Anatomy,3600,2400,3000,,,,,CA
CED,1365-2230,Clinical and Experimental Dermatology,3100,2050,2600,,,,,CED
CEN3,1759-1961,Clinical and Experimental Neuroimmunology,2500,1667,2083,,,,,CEN3
CEP,1440-1681,Clinical and Experimental Pharmacology and Physiology,3300,2200,2750,,,,,CEP
CEN,1365-2265,Clinical Endocrinology,4000,2667,3333,3500,2334,2916,,CEN
CGE,1399-0004,Clinical Genetics,4000,2650,3350,,,,,CGE
CID,1708-8208,Clinical Implant Dentistry and Related Research,3800,2533,3167,,,,,CID
COB,1758-8111,Clinical Obesity,2800,1850,2350,,,,,COB
CLR,1600-0501,Clinical Oral Implants Research,3800,2550,3150,,,,,CLR
COA,1749-4486,Clinical Otolaryngology,4200,2800,3500,,,,,COA
CPT,1532-6535,Clinical Pharmacology & Therapeutics,3300,2200,2750,2200,1333,1667,,CPT
CPDD,2160-7648,Clinical Pharmacology in Drug Development,3300,2200,2750,,,,,CPDD
CPF,1475-097X,Clinical Physiology and Functional Imaging,3500,2350,2900,,,,,CPF
CPP,1099-0879,Clinical Psychology & Psychotherapy,3100,2067,2583,,,,,CPP
CTR,1399-0012,Clinical Transplantation,3600,2400,3000,,,,,CTR
TCL,1465-1858,Cochrane Library*,5000,3333,4167,,,,,TCL
COGS,1551-6709,Cognitive Science - A Multidisciplinary Journal,3100,2067,2583,,,,,COGS
COL,1520-6378,Color Research and Application,3100,2067,2583,,,,,COL
COTE,1478-4408,Coloration Technology,3300,2200,2750,,,,,COTE
CODI,1463-1318,Colorectal Disease,3300,2200,2750,,,,,CODI
CPA,1097-0312,Communications on Pure and Applied Mathematics,4000,2667,3333,,,,,CPA
CDOE,1600-0528,Community Dentistry and Oral Epidemiology,3600,2400,3000,,,,,CDOE
CRF3,1541-4337,Comprehensive Reviews in Food Science and Food Safety,4000,3090,3470,,,,,CRF3
CMM4,2577-7408,Computational and Mathematical Methods,3000,2244,2539,,,,,CMM4
COIN,1467-8640,Computational Intelligence,2900,1950,2400,,,,,COIN
CAV,1546-427X,Computer Animation & Virtual Worlds,2700,1800,2250,,,,,CAV
CAE,1099-0542,Computer Applications In Engineering Education,3500,2350,2900,,,,,CAE
CGF,1467-8659,Computer Graphics Forum,3000,2000,2500,,,,,CGF
MICE,1467-8667,Computer-Aided Civil and Infrastructure Engineering,4000,2667,3333,,,,,MICE
CPE,1532-0634,Concurrency and Computation: Practice and Experience,3900,2600,3250,,,,,CPE
CRQ,1541-1508,Conflict Resolution Quarterly,3000,2000,2500,,,,,CRQ
CGA,1741-4520,Congenital Anomalies,2500,1667,2083,,,,,CGA
COBI,1523-1739,Conservation Biology,3000,2000,2500,,,,,COBI
CONS,1467-8675,Constellations,2500,1667,2083,,,,,CONS
ARCP,2476-1281,Consumer Psychology Review,3000,2000,2500,,,,,ARCP
COD,1600-0536,Contact Dermatitis,3800,2533,3167,,,,,COD
CARE,1911-3846,Contemporary Accounting Research,2500,1650,2100,,,,,CARE
COEP,1465-7287,Contemporary Economic Policy,2600,1700,2200,,,,,COEP
CTPP,1521-3986,Contributions to Plasma Physics,3300,2200,2750,,,,,CTPP
CORG,1467-8683,Corporate Governance: An International Review,3300,2200,2750,,,,,CORG
CSR,1535-3966,Corporate Social Responsibility and EnvironmentalManagement,3000,2000,2500,,,,,CSR
CVJ,2161-007X,Counseling and Values,2500,1650,2100,,,,,CVJ
CAPR,1746-1405,Counselling and Psychotherapy Research,2500,1650,2100,,,,,CAPR
CEAS,1556-6978,Counselor Education and Supervision,2500,1650,2100,,,,,CEAS
CAIM,1467-8691,Creativity and Innovation Management,2600,1750,2150,,,,,CAIM
CBM,1471-2857,Criminal Behaviour and Mental Health,3000,2000,2500,,,,,CBM
CRIM,1745-9125,Criminology,3300,2200,2750,,,,,CRIM
CAPP,1745-9133,Criminology and Public Policy,3100,2050,2600,,,,,CAPP
CRIQ,1467-8705,Critical Quarterly,2500,1667,2083,,,,,CRIQ
CFT2,2374-3832,"Crop, Forage & Turfgrass Management",1000,800,900,,,,,CFT2
CSC2,1435-0653,Crop Science,1100,850,1000,,,,,CSC2
CRSO,2325-3606,Crops & Soils,1000,800,900,,,,,CRSO
CRAT,1521-4079,Crystal Research & Technology,3800,2550,3150,,,,,CRAT
CSAN,2325-3584,CSA News,1000,800,900,,,,,CSAN
CUAG,2153-9561,"Culture, Agriculture, Food and Environment",3000,2000,2500,,,,,CUAG
CURA,2151-6952,Curator: The Museum Journal,2500,1667,2083,,,,,CURA
CPZ1,2691-1299,Current Protocols,4750,3800,4300,,,,,CPZ1
CPET,1948-3430,Current Protocols Essential Laboratory Techniques,4750,3550,4020,,,,,CPET
CPBI,1934-340X,Current Protocols in Bioinformatics,4750,3550,4020,,,,,CPBI
CPCB,1934-2616,Current Protocols in Cell Biology,4750,3550,4020,,,,,CPCB
CPCH,2160-4762,Current Protocols in Chemical Biology,4750,3550,4020,,,,,CPCH
CPCY,1934-9300,Current Protocols in Cytometry,4750,3550,4020,,,,,CPCY
CPHG,1934-8258,Current Protocols in Human Genetics,4750,3550,4020,,,,,CPHG
CPIM,1934-368X,Current Protocols in Immunology,4750,3550,4020,,,,,CPIM
CPMC,1934-8533,Current Protocols in Microbiology,4750,3550,4020,,,,,CPMC
CPMB,1934-3647,Current Protocols in Molecular Biology,4750,3550,4020,,,,,CPMB
CPMO,2161-2617,Current Protocols in Mouse Biology,4750,3550,4020,,,,,CPMO
CPNS,1934-8576,Current Protocols in Neuroscience,4750,3550,4020,,,,,CPNS
CPNC,1934-9289,Current Protocols in Nucleic Acid Chemistry,4750,3550,4020,,,,,CPNC
CPPH,1934-8290,Current Protocols in Pharmacology,4750,3550,4020,,,,,CPPH
CPPB,2379-8068,Current Protocols in Plant Biology,4750,3550,4020,,,,,CPPB
CPPS,1934-3663,Current Protocols in Protein Science,4750,3550,4020,,,,,CPPS
CPSC,1938-8969,Current Protocols in Stem Cell Biology,4750,3550,4020,,,,,CPSC
CPTX,1934-9262,Current Protocols in Toxicology,4750,3550,4020,,,,,CPTX
CURT,1467-8748,Curtis's Botanical Magazine,3000,2000,2500,,,,,CURT
CYTB,1552-4930,Cytometry Part A,3000,2000,2500,2400,1600,2000,,CYTB
