Journal Code,Journal,Ownership Structure,Current Price (USD),Current Price (GBP),Current Price (EUR),Current Price (USD).1,Current Price (GBP).1,Current Price (EUR).1,APC Change 2021 - 2020 (US $),APC Change 2021 - 2020 (%),Subject / Business Unit,Base Price,Impact Factor Percentile,Impact Factor Percentile (Round),Price Adjustment,Price Check,Is this journal considered to be 'slow' in publication?,Price Adjustment 2,Price Check 2,No. of Open Access Articles,Price Adjustment 3,Price Check 3,Competitor Analysis,Score,Price Adjustment 4,Final Adjustment 5,Maximum/Minimum Price Rule,Price Change,Price Decrease Rule,Price change limit,Limited % Price change,Is this journal considered to be 'Prestigious'?,Price Adjustment Prestigious ,Subscription Revenue per article,Subscription Revenue difference,Price Adjustment Subscription,Corporate Revenue,Price Adjustment Corporate,Final Price (USD),Final Price (GBP),Final Price (EUR),Price Change Final,Percentage Change,% category,Increase/Decrease?,Will price change be implemented?,Inflation Adjusted price,Round Inflation Adjusted Price,Round Inflation Adjusted Price (GBP),Round Inflation Adjusted Price (EUR),Current Gross Revenue,New Gross Revenue,Current Revenue,New Revenue,Current Revenue per article (Discounted),New Revenue per article (discounted),Subject Article Growth,Natural Market Volume Growth,Market Growth Revenue,% Price Change,Price Elasticity,Volume Change,New Volume,New Discounted Revenue ,Revenue Change,u,% Revenue Change,Credit Card Discount Volume Uptake,Remaining Volume,Credit Card Discount Revenue,Revenue per article,Credit Card Revenue,Remaining Revenue,Total Surcharge Revenue,China Revenue,Revenue per article.1,China New Revenue,Revenue change,Min 2%,Difference
ABLJ,American Business Law Journal,N-Society Owned,2500.0,1650.0,2100.0,2500,1650.0,2100,0.0,0.0,SSH,2750,None,None,-500,2250,No,0,2250,1,-500,1750,No direct competitors,0,1750,1750,1750,-750,2500,2550,0.02,No,0,0.0,-2500.0,0,0.0,0,2550,1700,2150,50,0.02,1-2%,Increase,Yes,2550,2550,1700,2150,2500,2550,1950.0,2512.5,1950.0,2512.5,0.1,1.1,2145.0,0.02,0.0,0.0,1.1,2763.75,813.75,,0.4173076923076923,0.48400000000000004,0.6160000000000001,0.0,0.0,0.0,1547.7000000000003,1547.7000000000003,0.0,0.0,0.0,562.5,50.0,-512.5
ACE,New Directions for Adult and Continuing Education,O-Proprietary Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,SSH,2750,0.756,0.8,800,3550,No,0,3550,18,0,3550,No direct competitors,0,3550,3550,3550,550,3600,3672,0.224,No,0,14334.985489653849,10734.985489653849,Subscription revenue considerably higher than APC - please review,0.0,0,3650,2450,3050,650,0.22,21-25%,Increase,Yes,3650,3650,2450,3050,54000,65700,45760.7887815,49915.86516871094,2542.2660434166664,2773.103620483941,0.1,19.8,50336.86765964999,0.21666666666666667,-0.1,-0.021666666666666667,19.371,53717.79023239442,7957.001450894422,,0.17388252394179116,8.52324,10.84776,2833.8015559218748,157.4334197734375,1341.8428207497534,30081.962530140874,31423.805350890627,2790.8651687109373,155.0480649283854,3003.4360657277534,4155.076387210938,1080.0,-3075.0763872109383
ACEM,Academic Emergency Medicine,N-Society Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,Health Sci,3250,None,None,-500,2750,No,0,2750,294,500,3250,No direct competitors,0,3250,3250,3250,250,3300,3366,0.122,No,0,0.0,-3300.0,0,0.0,0,3350,2250,2800,350,0.12,11-15%,Increase,Yes,3350,3350,2250,2800,882000,984900,727987.8220589999,1013119.44044142,2476.1490546224486,3445.9844912973467,0.1,323.40000000000003,800786.6042649,0.11666666666666667,0.0,0.0,323.40000000000003,1114431.384485562,386443.5624265622,,0.5308379490931138,142.29600000000002,181.104,12802.330882600001,43.54534313809524,6196.328147178401,624081.5753119148,630277.9034590932,12619.44044142,42.92326680755102,13881.384485562003,285131.61838242004,17640.0,-267491.61838242004
ACER,Alcoholism: Clinical & Experimental Research,N-Society Owned,3300.0,2200.0,2750.0,3465,2300.0,2900,165.0,0.05,Health Sci,3250,0.31499999999999995,0.3,100,3350,No,0,3350,2,-500,2850,No direct competitors,0,2850,2850,2850,-615,3500,3570,0.030303030303030304,No,0,2937.352391903572,-562.647608096428,0,0.0,0,3550,2350,2950,85,0.02,1-2%,Increase,Yes,3550,3550,2350,2950,6930,7100,4978.77,5700.0,2489.385,2850.0,0.1,2.2,5476.647000000001,0.024531024531024532,0.0,0.0,2.2,6270.000000000001,1291.2300000000005,,0.2593471881609314,0.9680000000000001,1.2320000000000002,2900.0,1450.0,1403.6000000000001,3511.2000000000007,4914.800000000001,2850.0,1425.0,3135.0000000000005,721.2299999999996,138.6,-582.6299999999995
ACFI,Accounting & Finance,N-Society Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,SSH,2750,0.638,0.6,600,3350,No,0,3350,18,0,3350,No direct competitors,0,3350,3350,3350,350,3400,3468,0.156,No,0,0.0,-3400.0,0,0.0,0,3450,2300,2900,450,0.15,11-15%,Increase,Yes,3450,3450,2300,2900,54000,62100,45106.68815,52057.94836027778,2505.9271194444445,2892.1082422376544,0.1,19.8,49617.356965000006,0.15,0.0,0.0,19.8,57263.74319630556,12157.055046305555,,0.26951779314583874,8.712,11.088000000000001,12482.182051666667,693.4545584259259,6041.376113006667,32067.696189931114,38109.072302937784,12813.503915833333,711.8613286574074,14094.854307416666,6951.260210277775,1080.0,-5871.260210277775
ACG2,Advances in Cell and Gene Therapy,O-Proprietary Owned,2700.0,2080.0,2478.0,2700,2080.0,2478,0.0,0.0,Health Sci,3250,None,None,-500,2750,No,0,2750,8,0,2750,No direct competitors,0,2750,2750,2750,50,2800,2856,0.057777777777777775,No,0,0.0,-2800.0,0,0.0,0,2850,2200,2650,150,0.06,6-10%,Increase,Yes,2850,2850,2200,2650,21600,22800,22177.35,24765.0,2772.16875,3095.625,0.1,8.8,24395.085,0.05555555555555555,0.0,0.0,8.8,27241.500000000004,5064.150000000005,,0.2283478413787042,3.8720000000000003,4.928000000000001,0.0,0.0,0.0,15255.240000000003,15255.240000000003,0.0,0.0,0.0,2587.6500000000015,432.0,-2155.6500000000015
ACGS,Acta Geologica Sinica (English Edition),N-Society Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,Life Sci,3250,0.477,0.5,500,3750,No,0,3750,6,0,3750,No direct competitors,0,3750,3750,3750,750,3800,3876,0.292,No,0,13066.339925304545,9266.339925304545,Subscription revenue considerably higher than APC - please review,0.0,0,3900,2600,3250,900,0.3,26-30%,Increase,Yes,3900,3900,2600,3250,18000,23400,13647.359499999999,14280.0,2274.5599166666666,2380.0,0.1,6.6000000000000005,15012.09545,0.3,-0.1,-0.03,6.402,15236.76,1589.4005000000016,,0.1164621258786362,2.8168800000000003,3.58512,0.0,0.0,0.0,8532.5856,8532.5856,0.0,0.0,0.0,632.6405000000013,360.0,-272.64050000000134
ACP,Applied Cognitive Psychology,O-Proprietary Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,SSH,2750,0.771,0.8,800,3550,No,0,3550,6,0,3550,No direct competitors,0,3550,3550,3550,1050,3600,3672,0.4688,No,0,3030.756666666667,-569.2433333333329,0,76.97848484848484,0,3650,2450,3050,1150,0.46,over 40%,Increase,Yes,3650,3650,2450,3050,15000,21900,14775.0,16012.5,2462.5,2668.75,0.1,6.6000000000000005,16252.500000000002,0.46,-0.2,-0.09200000000000001,5.992800000000001,15993.285000000002,1218.2850000000017,,0.08245583756345189,2.6368320000000005,3.3559680000000003,0.0,0.0,0.0,8956.2396,8956.2396,0.0,0.0,0.0,1237.5,300.0,-937.5
ACPS,Acta Psychiatrica Scandinavica,O-Proprietary Owned,3600.0,2400.0,3000.0,3600,2400.0,3000,0.0,0.0,Health Sci,3250,0.645,0.6,600,3850,No,0,3850,3,-500,3350,No direct competitors,0,3350,3350,3350,-250,3600,3672,0.02,No,0,2981.323230095238,-618.6767699047618,0,141.47007936507936,0,3650,2400,3050,50,0.01,1-2%,Increase,Yes,3650,3650,2450,3050,10800,10950,6428.75,8107.5,2142.9166666666665,2702.5,0.1,3.3000000000000003,7071.625,0.013888888888888888,0.0,0.0,3.3000000000000003,8918.25,2489.5,,0.38724479875559015,1.4520000000000002,1.848,0.0,0.0,0.0,4994.22,4994.22,0.0,0.0,0.0,1678.75,216.0,-1462.75
ACR,Arthritis Care & Research,N-Society Owned,4400.0,2933.0,3667.0,4400,2933.0,3667,0.0,0.0,Health Sci,3250,0.049000000000000044,0,-500,2750,No,0,2750,1,-500,2250,No direct competitors,0,2250,2250,2250,-2150,4400,4488,0.02,No,0,3528.8095324387095,-871.1904675612905,0,0.0,0,4500,3000,3750,100,0.02,1-2%,Increase,Yes,4500,4500,3000,3750,4400,4500,2677.5,3900.0,2677.5,3900.0,0.1,1.1,2945.2500000000005,0.022727272727272728,0.0,0.0,1.1,4290.0,1612.5,,0.6022408963585434,0.48400000000000004,0.6160000000000001,0.0,0.0,0.0,2402.4000000000005,2402.4000000000005,0.0,0.0,0.0,1222.5,88.0,-1134.5
ACS,International Journal of Adaptive Control and Signal Processing,O-Proprietary Owned,3000.0,2000.0,2500.0,3000,2000.0,2500,0.0,0.0,Physical Sci,3500,0.872,0.9,900,4400,No,0,4400,4,-500,3900,No direct competitors,0,3900,3900,3900,900,3900,3978,0.326,No,0,2039.8881920185188,-1860.1118079814812,0,-0.003466685185531107,0,4000,2650,3350,1000,0.33,31-35%,Increase,Yes,4000,4000,2650,3350,12000,16000,8717.9417,11320.081542,2179.485425,2830.0203855,0.1,4.4,9589.73587,0.3333333333333333,-0.2,-0.06666666666666667,4.106666666666667,11621.950383120002,2904.0086831200024,,0.3331071465091356,1.8069333333333337,2.2997333333333336,9099.765376,2274.941344,4110.667345851734,6508.292214547201,10618.959560398936,8957.581542,2239.3953855,9196.450383120002,2602.1398420000005,240.0,-2362.1398420000005
ACV,Animal Conservation,N-Society Owned,3600.0,2400.0,3000.0,3700,2450.0,3100,100.0,0.027777777777777776,Life Sci,3250,0.69,0.7,700,3950,No,0,3950,15,0,3950,No direct competitors,0,3950,3950,3950,250,4000,4080,0.10270270270270271,No,0,2011.8446898333332,-1988.1553101666668,0,15.823866738993711,0,4100,2700,3450,400,0.11,11-15%,Increase,Yes,4100,4100,2700,3450,55500,61500,50199.0,59640.0,3346.6,3976.0,0.1,16.5,55218.9,0.10810810810810811,0.0,0.0,16.5,65604.0,15405.0,,0.306878623080141,7.26,9.24,25500.0,1700.0,12342.0,36738.24,49080.24,25800.0,1720.0,28380.0,9441.0,1110.0,-8331.0
ADB,Addiction Biology,N-Society Owned,3600.0,2400.0,3000.0,3700,2450.0,3100,100.0,0.027777777777777776,Health Sci,3250,0.349,0.3,100,3350,No,0,3350,0,2500,2500,No direct competitors,0,2500,2500,2500,-1200,3700,3774,0.02,No,0,7846.197938623459,4146.197938623459,Subscription revenue considerably higher than APC - please review,0.0,0,3750,2450,3150,50,0.01,1-2%,Increase,Yes,3750,3750,2500,3150,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADC2,Advanced Control for Applications,O-Proprietary Owned,2500.0,1650.0,2100.0,2500,1650.0,2100,0.0,0.0,Physical Sci,3500,0.637,0.6,600,4100,No,0,4100,15,0,4100,No direct competitors,0,4100,4100,4100,1600,4100,4182,0.6728,No,0,27.077773279352222,-4072.922226720648,0,6353.248663967611,Corporate revenue exceeds,4200,2750,3550,1700,0.68,over 40%,Increase,Yes,4200,4200,2750,3550,37500,63000,59296.871999999996,61425.0,3953.1247999999996,4095.0,0.1,16.5,65226.559199999996,0.68,-0.3,-0.20400000000000001,13.134,53783.73,-5513.141999999993,,-0.09297525845882719,5.7789600000000005,7.35504,18200.0,1213.3333333333333,7011.8048,30118.8888,37130.6936,18000.0,1200.0,15760.800000000001,2128.1280000000042,750.0,-1378.1280000000042
ADD,Addiction,N-Society Owned,3360.0,2300.0,2850.0,3700,2550.0,3150,340.0,0.10119047619047619,Health Sci,3250,0.30900000000000005,0.3,100,3350,No,0,3350,0,2500,2500,No direct competitors,0,2500,2500,2500,-1200,3700,3774,0.02,No,0,70.69138898703703,-3629.308611012963,0,0.0,0,3750,2600,3200,50,0.01,1-2%,Increase,Yes,3750,3750,2600,3200,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADEM,Advanced Engineering Materials,O-Proprietary Owned,3800.0,2550.0,3150.0,4100,2750.0,3400,300.0,0.07894736842105263,Physical Sci,3500,0.85,0.9,900,4400,No,0,4400,22,500,4900,No direct competitors,0,4900,4900,4900,800,4900,4998,0.21902439024390244,No,0,1389.9131961388891,-3510.0868038611106,0,93.06836382407408,0,5000,3350,4150,900,0.22,21-25%,Increase,Yes,5000,5000,3350,4150,90200,110000,72902.23999999999,75171.58180613135,3313.7381818181816,3416.8900820968793,0.1,24.200000000000003,80192.464,0.21951219512195122,-0.1,-0.021951219512195124,23.66878048780488,80873.62130410863,7971.38130410864,,0.10934343449678145,10.414263414634148,13.254517073170733,24879.873513513514,1130.9033415233416,11777.525295114043,45289.22793030083,57066.753225414875,25052.50675675676,1138.7503071253072,26952.831049769287,2269.341806131357,1804.0,-465.34180613135686
ADFM,Advanced Functional Materials,O-Proprietary Owned,5000.0,3750.0,4375.0,5000,3750.0,4375,0.0,0.0,Physical Sci,3500,None,None,-500,3000,No,0,3000,0,2500,2500,No direct competitors,0,2500,2500,2500,-2500,5000,5100,0.02,No,0,0.0,-5000.0,0,0.0,0,5100,3850,4450,100,0.02,1-2%,Increase,Yes,5100,5100,3850,4450,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADJ,Australian Dental Journal,N-Society Owned,2500.0,1667.0,2083.0,2500,1667.0,2083,0.0,0.0,Health Sci,3250,0.5549999999999999,0.6,600,3850,No,0,3850,1,-500,3350,No direct competitors,0,3350,3350,3350,850,3400,3468,0.3872,No,0,6709.904179104477,3309.9041791044774,Subscription revenue considerably higher than APC - please review,0.0,0,3450,2300,2850,950,0.38,36-40%,Increase,Yes,3450,3450,2300,2850,2500,3450,3272.5,3350.0,3272.5,3350.0,0.1,1.1,3599.7500000000005,0.38,-0.1,-0.038000000000000006,1.0582,3544.9700000000003,272.47000000000025,,0.08326050420168075,0.465608,0.592592,0.0,0.0,0.0,1985.1832,1985.1832,0.0,0.0,0.0,77.5,50.0,-27.5
ADMA,Advanced Materials,O-Proprietary Owned,5000.0,3750.0,4375.0,5000,3750.0,4375,0.0,0.0,Physical Sci,3500,None,None,-500,3000,No,0,3000,82,500,3500,No direct competitors,0,3500,3500,3500,-1500,5000,5100,0.02,No,0,0.0,-5000.0,0,0.0,0,5100,3850,4450,100,0.02,1-2%,Increase,Yes,5100,5100,3850,4450,410000,418200,316172.98500000004,391910.2983239859,3855.768109756098,4779.3938819998275,0.1,90.2,347790.2835000001,0.02,0.0,0.0,90.2,431101.32815638446,114928.34315638442,,0.36349830190705384,39.688,50.512,37481.266280487805,457.08861317668055,18140.9328797561,241416.7437675753,259557.6766473314,33399.148170731714,407.30668500892335,36739.062987804886,75737.31332398584,8200.0,-67537.31332398584
ADMI,Advanced Materials Interfaces,O-Proprietary Owned,3800.0,2550.0,3150.0,4200,2800.0,3500,400.0,0.10526315789473684,Physical Sci,3500,None,None,-500,3000,No,0,3000,202,500,3500,No direct competitors,0,3500,3500,3500,-700,4200,4284,0.02,No,0,0.0,-4200.0,0,0.0,0,4300,2850,3550,100,0.02,1-2%,Increase,Yes,4300,4300,2850,3550,848400,868600,964583.9343750001,960948.1359375,4775.167991955446,4757.168989789604,0.1,222.20000000000002,1061042.3278125003,0.023809523809523808,0.0,0.0,222.20000000000002,1057042.9495312502,92459.0151562501,,0.09585377887944889,97.76800000000001,124.432,293916.69609375,1455.0331489789605,142255.68090937502,591944.0517375,734199.7326468751,256820.41406249997,1271.3881884282177,282502.45546875,-3635.7984375000233,16968.0,20603.798437500023
ADMT,Advanced Materials Technologies,O-Proprietary Owned,3800.0,2550.0,3150.0,4200,2800.0,3500,400.0,0.10526315789473684,Physical Sci,3500,0.41200000000000003,0.4,300,3800,No,0,3800,1,-500,3300,No direct competitors,0,3300,3300,3300,-900,4200,4284,0.02,No,0,4468.436303165334,268.4363031653338,0,698.433431928,0,4300,2850,3550,100,0.02,1-2%,Increase,Yes,4300,4300,2850,3550,4200,4300,2478.77,3450.0,2478.77,3450.0,0.1,1.1,2726.6470000000004,0.023809523809523808,0.0,0.0,1.1,3795.0000000000005,1316.2300000000005,,0.5310012627230443,0.48400000000000004,0.6160000000000001,0.0,0.0,0.0,2125.2000000000003,2125.2000000000003,0.0,0.0,0.0,971.23,84.0,-887.23
ADOM,Advanced Optical Materials,O-Proprietary Owned,3800.0,2550.0,3150.0,4200,2800.0,3500,400.0,0.10526315789473684,Physical Sci,3500,None,None,-500,3000,No,0,3000,177,500,3500,No direct competitors,0,3500,3500,3500,-700,4200,4284,0.02,No,0,0.0,-4200.0,0,0.0,0,4300,2850,3550,100,0.02,1-2%,Increase,Yes,4300,4300,2850,3550,743400,761100,874621.0306250001,866321.5909875,4941.361754943504,4894.472265466102,0.1,194.70000000000002,962083.1336875003,0.023809523809523808,0.0,0.0,194.70000000000002,952953.7500862501,78332.71946125,,0.08956189791740293,85.668,109.03200000000001,213039.93991875,1203.6154797669492,103111.33092067501,533654.1000483001,636765.4309689752,186151.40381249998,1051.702846398305,204766.54419374999,-8299.439637500094,14868.0,23167.439637500094
ADSC,Advanced Synthesis & Catalysis,O-Proprietary Owned,4000.0,2650.0,3350.0,4000,2650.0,3350,0.0,0.0,Physical Sci,3500,None,None,-500,3000,No,0,3000,57,500,3500,No direct competitors,0,3500,3500,3500,-500,4000,4080,0.02,No,0,0.0,-4000.0,0,0.0,0,4100,2750,3450,100,0.03,3-5%,Increase,Yes,4100,4100,2750,3450,228000,233700,187489.32419999997,200874.2688238095,3289.286389473684,3524.109979365079,0.1,62.7,206238.25661999997,0.025,0.0,0.0,62.7,220961.69570619048,33472.37150619051,,0.1785294797397884,27.588,35.112,122597.5250642857,2150.833773057644,59337.20213111429,123738.54959546667,183075.75172658096,121369.3104904762,2129.2861489557226,133506.24153952382,13384.94462380954,4560.0,-8824.94462380954
