Journal Code,Journal,Ownership Structure,Current Price (USD),Current Price (GBP),Current Price (EUR),Current Price (USD).1,Current Price (GBP).1,Current Price (EUR).1,APC Change 2021 - 2020 (US $),APC Change 2021 - 2020 (%),Subject / Business Unit,Base Price,Impact Factor Percentile,Impact Factor Percentile (Round),Price Adjustment,Price Check,Is this journal considered to be 'slow' in publication?,Price Adjustment 2,Price Check 2,No. of Open Access Articles,Price Adjustment 3,Price Check 3,Competitor Analysis,Score,Price Adjustment 4,Final Adjustment 5,Maximum/Minimum Price Rule,Price Change,Price Decrease Rule,Price change limit,Limited % Price change,Is this journal considered to be 'Prestigious'?,Price Adjustment Prestigious ,Subscription Revenue per article,Subscription Revenue difference,Price Adjustment Subscription,Corporate Revenue,Price Adjustment Corporate,Final Price (USD),Final Price (GBP),Final Price (EUR),Price Change Final,Percentage Change,% category,Increase/Decrease?,Will price change be implemented?,Inflation Adjusted price,Round Inflation Adjusted Price,Round Inflation Adjusted Price (GBP),Round Inflation Adjusted Price (EUR),Current Gross Revenue,New Gross Revenue,Current Revenue,New Revenue,Current Revenue per article (Discounted),New Revenue per article (discounted),Subject Article Growth,Natural Market Volume Growth,Market Growth Revenue,% Price Change,Price Elasticity,Volume Change,New Volume,New Discounted Revenue ,Revenue Change,u,% Revenue Change,Credit Card Discount Volume Uptake,Remaining Volume,Credit Card Discount Revenue,Revenue per article,Credit Card Revenue,Remaining Revenue,Total Surcharge Revenue,China Revenue,Revenue per article.1,China New Revenue,Revenue change,Min 2%,Difference
ABLJ,American Business Law Journal,N-Society Owned,2500,1650,2100,2500,1650,2100,0,0,SSH,2750,None,None,-500,2250,No,0,2250,1,-500,1750,No direct competitors,0,1750,1750,1750,-750,2500,2550,0.02,No,0,0,-2500,0,0,0,2550,1700,2150,50,0.02,1-2%,Increase,Yes,2550,2550,1700,2150,2500,2550,1950,2512.5,1950,2512.5,0.1,1.1,2145,0.02,0,0,1.1,2763.75,813.75,,0.417307692,0.484,0.616,0,0,0,1547.7,1547.7,0,0,0,562.5,50,-512.5
ACE,New Directions for Adult and Continuing Education,O-Proprietary Owned,3000,2000,2500,3000,2000,2500,0,0,SSH,2750,0.756,0.8,800,3550,No,0,3550,18,0,3550,No direct competitors,0,3550,3550,3550,550,3600,3672,0.224,No,0,14334.98549,10734.98549,Subscription revenue considerably higher than APC - please review,0,0,3650,2450,3050,650,0.22,21-25%,Increase,Yes,3650,3650,2450,3050,54000,65700,45760.78878,49915.86517,2542.266043,2773.10362,0.1,19.8,50336.86766,0.216666667,-0.1,-0.021666667,19.371,53717.79023,7957.001451,,0.173882524,8.52324,10.84776,2833.801556,157.4334198,1341.842821,30081.96253,31423.80535,2790.865169,155.0480649,3003.436066,4155.076387,1080,-3075.076387
ACEM,Academic Emergency Medicine,N-Society Owned,3000,2000,2500,3000,2000,2500,0,0,Health Sci,3250,None,None,-500,2750,No,0,2750,294,500,3250,No direct competitors,0,3250,3250,3250,250,3300,3366,0.122,No,0,0,-3300,0,0,0,3350,2250,2800,350,0.12,11-15%,Increase,Yes,3350,3350,2250,2800,882000,984900,727987.8221,1013119.44,2476.149055,3445.984491,0.1,323.4,800786.6043,0.116666667,0,0,323.4,1114431.384,386443.5624,,0.530837949,142.296,181.104,12802.33088,43.54534314,6196.328147,624081.5753,630277.9035,12619.44044,42.92326681,13881.38449,285131.6184,17640,-267491.6184
ACER,Alcoholism: Clinical & Experimental Research,N-Society Owned,3300,2200,2750,3465,2300,2900,165,0.05,Health Sci,3250,0.315,0.3,100,3350,No,0,3350,2,-500,2850,No direct competitors,0,2850,2850,2850,-615,3500,3570,0.03030303,No,0,2937.352392,-562.6476081,0,0,0,3550,2350,2950,85,0.02,1-2%,Increase,Yes,3550,3550,2350,2950,6930,7100,4978.77,5700,2489.385,2850,0.1,2.2,5476.647,0.024531025,0,0,2.2,6270,1291.23,,0.259347188,0.968,1.232,2900,1450,1403.6,3511.2,4914.8,2850,1425,3135,721.23,138.6,-582.63
ACFI,Accounting & Finance,N-Society Owned,3000,2000,2500,3000,2000,2500,0,0,SSH,2750,0.638,0.6,600,3350,No,0,3350,18,0,3350,No direct competitors,0,3350,3350,3350,350,3400,3468,0.156,No,0,0,-3400,0,0,0,3450,2300,2900,450,0.15,11-15%,Increase,Yes,3450,3450,2300,2900,54000,62100,45106.68815,52057.94836,2505.927119,2892.108242,0.1,19.8,49617.35697,0.15,0,0,19.8,57263.7432,12157.05505,,0.269517793,8.712,11.088,12482.18205,693.4545584,6041.376113,32067.69619,38109.0723,12813.50392,711.8613287,14094.85431,6951.26021,1080,-5871.26021
ACG2,Advances in Cell and Gene Therapy,O-Proprietary Owned,2700,2080,2478,2700,2080,2478,0,0,Health Sci,3250,None,None,-500,2750,No,0,2750,8,0,2750,No direct competitors,0,2750,2750,2750,50,2800,2856,0.057777778,No,0,0,-2800,0,0,0,2850,2200,2650,150,0.06,6-10%,Increase,Yes,2850,2850,2200,2650,21600,22800,22177.35,24765,2772.16875,3095.625,0.1,8.8,24395.085,0.055555556,0,0,8.8,27241.5,5064.15,,0.228347841,3.872,4.928,0,0,0,15255.24,15255.24,0,0,0,2587.65,432,-2155.65
ACGS,Acta Geologica Sinica (English Edition),N-Society Owned,3000,2000,2500,3000,2000,2500,0,0,Life Sci,3250,0.477,0.5,500,3750,No,0,3750,6,0,3750,No direct competitors,0,3750,3750,3750,750,3800,3876,0.292,No,0,13066.33993,9266.339925,Subscription revenue considerably higher than APC - please review,0,0,3900,2600,3250,900,0.3,26-30%,Increase,Yes,3900,3900,2600,3250,18000,23400,13647.3595,14280,2274.559917,2380,0.1,6.6,15012.09545,0.3,-0.1,-0.03,6.402,15236.76,1589.4005,,0.116462126,2.81688,3.58512,0,0,0,8532.5856,8532.5856,0,0,0,632.6405,360,-272.6405
ACP,Applied Cognitive Psychology,O-Proprietary Owned,2500,1667,2083,2500,1667,2083,0,0,SSH,2750,0.771,0.8,800,3550,No,0,3550,6,0,3550,No direct competitors,0,3550,3550,3550,1050,3600,3672,0.4688,No,0,3030.756667,-569.2433333,0,76.97848485,0,3650,2450,3050,1150,0.46,over 40%,Increase,Yes,3650,3650,2450,3050,15000,21900,14775,16012.5,2462.5,2668.75,0.1,6.6,16252.5,0.46,-0.2,-0.092,5.9928,15993.285,1218.285,,0.082455838,2.636832,3.355968,0,0,0,8956.2396,8956.2396,0,0,0,1237.5,300,-937.5
ACPS,Acta Psychiatrica Scandinavica,O-Proprietary Owned,3600,2400,3000,3600,2400,3000,0,0,Health Sci,3250,0.645,0.6,600,3850,No,0,3850,3,-500,3350,No direct competitors,0,3350,3350,3350,-250,3600,3672,0.02,No,0,2981.32323,-618.6767699,0,141.4700794,0,3650,2400,3050,50,0.01,1-2%,Increase,Yes,3650,3650,2450,3050,10800,10950,6428.75,8107.5,2142.916667,2702.5,0.1,3.3,7071.625,0.013888889,0,0,3.3,8918.25,2489.5,,0.387244799,1.452,1.848,0,0,0,4994.22,4994.22,0,0,0,1678.75,216,-1462.75
ACR,Arthritis Care & Research,N-Society Owned,4400,2933,3667,4400,2933,3667,0,0,Health Sci,3250,0.049,0,-500,2750,No,0,2750,1,-500,2250,No direct competitors,0,2250,2250,2250,-2150,4400,4488,0.02,No,0,3528.809532,-871.1904676,0,0,0,4500,3000,3750,100,0.02,1-2%,Increase,Yes,4500,4500,3000,3750,4400,4500,2677.5,3900,2677.5,3900,0.1,1.1,2945.25,0.022727273,0,0,1.1,4290,1612.5,,0.602240896,0.484,0.616,0,0,0,2402.4,2402.4,0,0,0,1222.5,88,-1134.5
ACS,International Journal of Adaptive Control and Signal Processing,O-Proprietary Owned,3000,2000,2500,3000,2000,2500,0,0,Physical Sci,3500,0.872,0.9,900,4400,No,0,4400,4,-500,3900,No direct competitors,0,3900,3900,3900,900,3900,3978,0.326,No,0,2039.888192,-1860.111808,0,-0.003466685,0,4000,2650,3350,1000,0.33,31-35%,Increase,Yes,4000,4000,2650,3350,12000,16000,8717.9417,11320.08154,2179.485425,2830.020386,0.1,4.4,9589.73587,0.333333333,-0.2,-0.066666667,4.106666667,11621.95038,2904.008683,,0.333107147,1.806933333,2.299733333,9099.765376,2274.941344,4110.667346,6508.292215,10618.95956,8957.581542,2239.395386,9196.450383,2602.139842,240,-2362.139842
ACV,Animal Conservation,N-Society Owned,3600,2400,3000,3700,2450,3100,100,0.027777778,Life Sci,3250,0.69,0.7,700,3950,No,0,3950,15,0,3950,No direct competitors,0,3950,3950,3950,250,4000,4080,0.102702703,No,0,2011.84469,-1988.15531,0,15.82386674,0,4100,2700,3450,400,0.11,11-15%,Increase,Yes,4100,4100,2700,3450,55500,61500,50199,59640,3346.6,3976,0.1,16.5,55218.9,0.108108108,0,0,16.5,65604,15405,,0.306878623,7.26,9.24,25500,1700,12342,36738.24,49080.24,25800,1720,28380,9441,1110,-8331
ADB,Addiction Biology,N-Society Owned,3600,2400,3000,3700,2450,3100,100,0.027777778,Health Sci,3250,0.349,0.3,100,3350,No,0,3350,0,2500,2500,No direct competitors,0,2500,2500,2500,-1200,3700,3774,0.02,No,0,7846.197939,4146.197939,Subscription revenue considerably higher than APC - please review,0,0,3750,2450,3150,50,0.01,1-2%,Increase,Yes,3750,3750,2500,3150,0,0,0,0,0,0,0.1,0,0,0.013513514,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADC2,Advanced Control for Applications,O-Proprietary Owned,2500,1650,2100,2500,1650,2100,0,0,Physical Sci,3500,0.637,0.6,600,4100,No,0,4100,15,0,4100,No direct competitors,0,4100,4100,4100,1600,4100,4182,0.6728,No,0,27.07777328,-4072.922227,0,6353.248664,Corporate revenue exceeds,4200,2750,3550,1700,0.68,over 40%,Increase,Yes,4200,4200,2750,3550,37500,63000,59296.872,61425,3953.1248,4095,0.1,16.5,65226.5592,0.68,-0.3,-0.204,13.134,53783.73,-5513.142,,-0.092975258,5.77896,7.35504,18200,1213.333333,7011.8048,30118.8888,37130.6936,18000,1200,15760.8,2128.128,750,-1378.128
ADD,Addiction,N-Society Owned,3360,2300,2850,3700,2550,3150,340,0.101190476,Health Sci,3250,0.309,0.3,100,3350,No,0,3350,0,2500,2500,No direct competitors,0,2500,2500,2500,-1200,3700,3774,0.02,No,0,70.69138899,-3629.308611,0,0,0,3750,2600,3200,50,0.01,1-2%,Increase,Yes,3750,3750,2600,3200,0,0,0,0,0,0,0.1,0,0,0.013513514,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADEM,Advanced Engineering Materials,O-Proprietary Owned,3800,2550,3150,4100,2750,3400,300,0.078947368,Physical Sci,3500,0.85,0.9,900,4400,No,0,4400,22,500,4900,No direct competitors,0,4900,4900,4900,800,4900,4998,0.21902439,No,0,1389.913196,-3510.086804,0,93.06836382,0,5000,3350,4150,900,0.22,21-25%,Increase,Yes,5000,5000,3350,4150,90200,110000,72902.24,75171.58181,3313.738182,3416.890082,0.1,24.2,80192.464,0.219512195,-0.1,-0.02195122,23.66878049,80873.6213,7971.381304,,0.109343434,10.41426341,13.25451707,24879.87351,1130.903342,11777.5253,45289.22793,57066.75323,25052.50676,1138.750307,26952.83105,2269.341806,1804,-465.3418061
ADFM,Advanced Functional Materials,O-Proprietary Owned,5000,3750,4375,5000,3750,4375,0,0,Physical Sci,3500,None,None,-500,3000,No,0,3000,0,2500,2500,No direct competitors,0,2500,2500,2500,-2500,5000,5100,0.02,No,0,0,-5000,0,0,0,5100,3850,4450,100,0.02,1-2%,Increase,Yes,5100,5100,3850,4450,0,0,0,0,0,0,0.1,0,0,0.02,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJ,Australian Dental Journal,N-Society Owned,2500,1667,2083,2500,1667,2083,0,0,Health Sci,3250,0.555,0.6,600,3850,No,0,3850,1,-500,3350,No direct competitors,0,3350,3350,3350,850,3400,3468,0.3872,No,0,6709.904179,3309.904179,Subscription revenue considerably higher than APC - please review,0,0,3450,2300,2850,950,0.38,36-40%,Increase,Yes,3450,3450,2300,2850,2500,3450,3272.5,3350,3272.5,3350,0.1,1.1,3599.75,0.38,-0.1,-0.038,1.0582,3544.97,272.47,,0.083260504,0.465608,0.592592,0,0,0,1985.1832,1985.1832,0,0,0,77.5,50,-27.5
ADMA,Advanced Materials,O-Proprietary Owned,5000,3750,4375,5000,3750,4375,0,0,Physical Sci,3500,None,None,-500,3000,No,0,3000,82,500,3500,No direct competitors,0,3500,3500,3500,-1500,5000,5100,0.02,No,0,0,-5000,0,0,0,5100,3850,4450,100,0.02,1-2%,Increase,Yes,5100,5100,3850,4450,410000,418200,316172.985,391910.2983,3855.76811,4779.393882,0.1,90.2,347790.2835,0.02,0,0,90.2,431101.3282,114928.3432,,0.363498302,39.688,50.512,37481.26628,457.0886132,18140.93288,241416.7438,259557.6766,33399.14817,407.306685,36739.06299,75737.31332,8200,-67537.31332
ADMI,Advanced Materials Interfaces,O-Proprietary Owned,3800,2550,3150,4200,2800,3500,400,0.105263158,Physical Sci,3500,None,None,-500,3000,No,0,3000,202,500,3500,No direct competitors,0,3500,3500,3500,-700,4200,4284,0.02,No,0,0,-4200,0,0,0,4300,2850,3550,100,0.02,1-2%,Increase,Yes,4300,4300,2850,3550,848400,868600,964583.9344,960948.1359,4775.167992,4757.16899,0.1,222.2,1061042.328,0.023809524,0,0,222.2,1057042.95,92459.01516,,0.095853779,97.768,124.432,293916.6961,1455.033149,142255.6809,591944.0517,734199.7326,256820.4141,1271.388188,282502.4555,-3635.798438,16968,20603.79844
ADMT,Advanced Materials Technologies,O-Proprietary Owned,3800,2550,3150,4200,2800,3500,400,0.105263158,Physical Sci,3500,0.412,0.4,300,3800,No,0,3800,1,-500,3300,No direct competitors,0,3300,3300,3300,-900,4200,4284,0.02,No,0,4468.436303,268.4363032,0,698.4334319,0,4300,2850,3550,100,0.02,1-2%,Increase,Yes,4300,4300,2850,3550,4200,4300,2478.77,3450,2478.77,3450,0.1,1.1,2726.647,0.023809524,0,0,1.1,3795,1316.23,,0.531001263,0.484,0.616,0,0,0,2125.2,2125.2,0,0,0,971.23,84,-887.23
ADOM,Advanced Optical Materials,O-Proprietary Owned,3800,2550,3150,4200,2800,3500,400,0.105263158,Physical Sci,3500,None,None,-500,3000,No,0,3000,177,500,3500,No direct competitors,0,3500,3500,3500,-700,4200,4284,0.02,No,0,0,-4200,0,0,0,4300,2850,3550,100,0.02,1-2%,Increase,Yes,4300,4300,2850,3550,743400,761100,874621.0306,866321.591,4941.361755,4894.472265,0.1,194.7,962083.1337,0.023809524,0,0,194.7,952953.7501,78332.71946,,0.089561898,85.668,109.032,213039.9399,1203.61548,103111.3309,533654.1,636765.431,186151.4038,1051.702846,204766.5442,-8299.439638,14868,23167.43964
ADSC,Advanced Synthesis & Catalysis,O-Proprietary Owned,4000,2650,3350,4000,2650,3350,0,0,Physical Sci,3500,None,None,-500,3000,No,0,3000,57,500,3500,No direct competitors,0,3500,3500,3500,-500,4000,4080,0.02,No,0,0,-4000,0,0,0,4100,2750,3450,100,0.03,3-5%,Increase,Yes,4100,4100,2750,3450,228000,233700,187489.3242,200874.2688,3289.286389,3524.109979,0.1,62.7,206238.2566,0.025,0,0,62.7,220961.6957,33472.37151,,0.17852948,27.588,35.112,122597.5251,2150.833773,59337.20213,123738.5496,183075.7517,121369.3105,2129.286149,133506.2415,13384.94462,4560,-8824.944624
ADSP,Adultspan Journal,N-Society Owned,2500,1650,2100,2500,1650,2100,0,0,SSH,2750,0.888,0.9,900,3650,No,0,3650,52,500,4150,No direct competitors,0,4150,4150,4150,1650,4200,4284,0.7136,No,0,6498.833592,2298.833592,Subscription revenue considerably higher than APC - please review,41.51503302,0,4300,2850,3600,1800,0.72,over 40%,Increase,Yes,4300,4300,2850,3600,130000,223600,126971.3564,134750.2482,2441.756854,2591.350928,0.1,57.2,139668.4921,0.72,-0.3,-0.216,44.8448,116208.6141,-10762.74235,,-0.084765121,19.731712,25.113088,14267.0658,274.36665,5413.72372,65076.82389,70490.54761,14074.26761,270.6589926,12137.64839,7778.891811,2600,-5178.891811
ADSU,Advanced Sustainable Systems,O-Proprietary Owned,3800,2550,3150,3800,2550,3150,0,0,Physical Sci,3500,None,None,-500,3000,No,0,3000,31,500,3500,No direct competitors,0,3500,3500,3500,-300,3800,3876,0.02,No,0,0,-3800,0,0,0,3900,2650,3250,100,0.03,3-5%,Increase,Yes,3900,3900,2650,3250,117800,120900,101357.4211,108499.0037,3269.594227,3499.967861,0.1,34.1,111493.1632,0.026315789,0,0,34.1,119348.9041,17991.48301,,0.177505335,15.004,19.096,70582.65573,2276.859862,34162.00537,66835.38628,100997.3916,69771.36084,2250.689059,76748.49692,7141.582644,2356,-4785.582644
ADTP,Advanced Therapeutics,O-Proprietary Owned,3800,2550,3150,3800,2550,3150,0,0,Physical Sci,3500,None,None,-500,3000,No,0,3000,0,2500,2500,No direct competitors,0,2500,2500,2500,-1300,3800,3876,0.02,No,0,367.464,-3432.536,0,0,0,3900,2650,3250,100,0.03,3-5%,Increase,Yes,3900,3900,2650,3250,0,0,0,0,0,0,0.1,0,0,0.026315789,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADTS,Advanced Theory and Simulations,O-Proprietary Owned,3800,2550,3150,3800,2550,3150,0,0,Physical Sci,3500,None,None,-500,3000,No,0,3000,37,500,3500,No direct competitors,0,3500,3500,3500,-300,3800,3876,0.02,No,0,0,-3800,0,0,0,3900,2650,3250,100,0.03,3-5%,Increase,Yes,3900,3900,2650,3250,140600,144300,136617.093,142963.3028,3692.353865,3863.87305,0.1,40.7,150278.8023,0.026315789,0,0,40.7,157259.6331,20642.54011,,0.151097785,17.908,22.792,14811.75775,400.317777,7168.890751,88065.39455,95234.2853,14633.30284,395.4946713,16096.63312,6346.209825,2812,-3534.209825
AEC,Austral Ecology,N-Society Owned,3100,2067,2583,3100,2067,2583,0,0,Life Sci,3250,0.683,0.7,700,3950,No,0,3950,6,0,3950,No direct competitors,0,3950,3950,3950,850,4000,4080,0.316129032,No,0,14924.98453,10924.98453,Subscription revenue considerably higher than APC - please review,0,0,4100,2750,3400,1000,0.32,31-35%,Increase,Yes,4100,4100,2750,3400,18600,24600,16825,25300,2804.166667,4216.666667,0.1,6.6,18507.5,0.322580645,-0.2,-0.064516129,6.174193548,26034.51613,9209.516129,,0.547370944,2.716645161,3.457548387,0,0,0,14579.32903,14579.32903,0,0,0,8475,372,-8103
AEHR,Australian Economic History Review,J-Joint Owned,2500,1667,2083,2500,1667,2083,0,0,SSH,2750,0.455,0.5,500,3250,No,0,3250,26,500,3750,No direct competitors,0,3750,3750,3750,1250,3800,3876,0.5504,No,0,2308.988037,-1491.011963,0,0,0,3900,2600,3250,1400,0.56,over 40%,Increase,Yes,3900,3900,2600,3250,65000,101400,56610.1665,60634.66682,2177.314096,2332.10257,0.1,28.6,62271.18315,0.56,-0.2,-0.112,25.3968,59227.94255,2617.776047,,0.046242154,11.174592,14.222208,26543.71713,1020.912197,11408.27727,33167.64783,44575.9251,26052.16682,1002.006416,25447.75655,4024.500317,1300,-2724.500317
AEJ,Australian Endodontic Journal,N-Society Owned,2500,1667,2083,2500,1667,2083,0,0,Health Sci,3250,None,None,-500,2750,No,0,2750,0,2500,2500,No direct competitors,0,2500,2500,2500,0,2500,2550,0.02,No,0,0,-2500,0,0,0,2550,1700,2100,50,0.02,1-2%,Increase,Yes,2550,2550,1700,2100,0,0,0,0,0,0,0.1,0,0,0.02,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AELM,Advanced Electronic Materials,O-Proprietary Owned,3800,2550,3150,4200,2800,3500,400,0.105263158,Physical Sci,3500,0.714,0.7,700,4200,No,0,4200,0,2500,2500,No direct competitors,0,2500,2500,2500,-1700,4200,4284,0.02,No,0,4377.536341,177.5363413,0,0,0,4300,2850,3550,100,0.02,1-2%,Increase,Yes,4300,4300,2850,3550,0,0,0,0,0,0,0.1,0,0,0.023809524,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
